ph,hardness,tds,chlorine,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity
5.07,136.05,514.13,0.61,371.46,812.15,1.99,2.82,2.92
8.39,336.9,351.72,2.05,65.65,997.06,7.9,9.52,13.5
7.29,80.96,192.09,0.56,288.74,2597.21,11.88,109.48,3.51
7.96,60.28,167.5,4.22,109.23,2591.3,11.97,25.31,0.97
7.79,438.44,227.37,0.12,284.13,891.26,12.93,53.38,0.93
6.58,401.15,241.52,2.14,316.19,2569.77,6.84,34.83,3.84
7.97,136.02,116.49,0.64,208.43,2443.93,7.94,85.7,3.16
6.25,255.41,160.2,0.57,55.87,2505.88,10.66,34.49,1.31
7.85,397.71,654.38,1.29,114.22,2576.61,0.87,102.94,1.97
7.22,92.48,819.29,4.27,88.25,373.56,13.33,26.86,2.23
8.01,440.88,929.49,3.22,263.27,2398.42,0.08,109.88,3.31
8.34,490.45,303.4,0.92,135.02,2425.22,4.47,24.55,4.98
5.11,1078.79,162.97,2.38,222.32,36584.04,10.49,200.38,4.7
7.29,204.49,273.42,4.13,96.99,284.71,3.87,43.24,11.07
6.63,123.33,292.8,3.18,126.98,15689.9,8.87,43.22,5.03
8.33,391.76,288.58,3.41,16.74,2727.92,11.44,26.45,3.82
6.12,282.64,821.71,4.8,71.25,17.1,4.27,122.44,4.54
7.46,50.7,270.4,0.22,251.05,658.65,9.61,7.9,2.81
8.27,268.37,273.42,8.26,379.17,2735.1,9.67,30.85,4.07
7.05,729.69,90.68,0.44,205.19,129.38,10.18,116.63,1.58
8.23,192.04,443.32,3.03,291.17,2179.16,10.83,12.76,1.7
6.82,59.13,759.45,0.43,98.96,1142.52,10.53,17.6,4.45
5.46,249.52,273.42,1.69,385.99,2375.18,6.04,16.56,5.2
9.54,273.89,383.22,0.22,140.09,490.69,0.14,54.44,5.89
7.99,80.91,273.42,4.39,108.89,2027.45,11.74,83.32,1.56
6.26,219.61,220.36,3.81,58.45,2740.46,10.1,19.17,1.89
7.87,443.44,304.51,4.47,237.1,2402.95,8.23,14.04,4.89
5.21,218.35,225.12,3.46,186.71,2262.1,4.71,128.45,1.0
9.39,118.99,81.77,3.17,104.34,1456.51,5.84,24.06,9.56
8.08,205.29,73.49,1.76,378.03,1695.64,6.25,50.34,1.69
6.43,207.15,333.37,4.3,374.93,2087.76,10.83,50.88,3.32
6.54,644.2,188.21,1.54,196.23,410.27,9.93,127.16,0.42
7.6,41.03,772.94,3.7,199.09,378.33,6.43,3.71,2.53
6.15,222.66,142.03,5.53,307.23,653.48,9.34,2.99,5.27
7.86,356.8,159.31,1.98,447.26,1259.89,9.55,128.57,2.01
7.48,250.5,397.53,3.57,70.8,556.2,4.86,6.29,5.48
5.4,347.9,599.47,0.15,320.48,1338.07,15.04,82.61,1.41
6.16,284.32,111.29,3.92,346.59,813.36,11.95,123.76,0.6
7.99,492.23,399.15,0.58,350.4,1949.81,6.61,44.81,2.59
5.68,330.96,78.47,2.6,373.2,2051.42,0.2,55.03,5.15
6.92,163.19,289.71,0.48,126.53,2777.46,15.26,111.98,1.0
6.87,347.23,373.52,1.67,124.41,2604.79,10.03,73.89,0.88
7.96,422.92,103.25,0.98,372.86,447.34,4.26,59.46,4.27
9.66,575.62,217.35,1.13,120.9,657.26,6.29,8.71,1.81
7.63,149.53,61.36,0.37,334.66,2026.69,8.67,106.15,3.0
6.98,173.87,262.5,2.17,659.66,2725.95,0.75,126.74,1.94
7.99,225.94,359.37,7.75,391.26,1173.01,0.24,37.59,3.42
7.25,325.06,1024.68,3.45,184.03,1817.46,10.39,24.04,0.33
8.77,169.98,123.15,3.04,175.65,1429.93,4.25,30.22,4.99
9.52,421.9,202.3,0.72,375.15,1710.79,2.78,84.72,1.14
6.9,191.42,325.54,0.55,148.89,1083.52,5.15,37.38,1.21
8.49,882.17,331.05,3.43,14.78,1518.34,9.33,7.34,3.83
6.54,147.25,407.72,1.44,191.93,178.47,7.65,49.07,2.0
5.35,284.56,341.81,2.33,59.93,1041.84,7.65,86.49,7.82
7.5,287.46,99.75,1.77,300.27,1024.99,9.91,177.5,4.1
7.61,401.08,200.44,1.31,289.06,1179.28,1.08,49.11,3.17
7.86,145.86,194.94,1.5,239.56,1356.4,10.86,103.0,1.87
8.12,119.66,308.18,3.84,390.73,1746.54,2.79,46.1,5.36
8.11,321.07,273.42,2.67,211.97,1128.02,5.37,9.28,2.16
6.75,384.59,106.51,0.24,724.88,2719.11,7.73,14.82,0.98
7.44,426.17,252.94,1.11,57.87,91.09,7.33,52.79,4.77
6.18,259.75,169.52,2.59,0.12,4.79,5.95,130.58,3.14
7.23,209.77,291.8,0.44,117.76,762.34,9.28,9.0,5.16
6.34,378.56,172.82,1.61,167.31,2126.65,5.82,87.32,4.83
8.06,208.81,276.01,0.51,320.94,2274.46,9.05,22.44,4.31
5.34,417.44,570.37,1.63,123.15,1305.87,4.44,99.11,0.63
7.66,77.56,502.51,1.66,261.0,183.39,9.66,178.01,1.09
7.11,115.76,1043.13,1.71,69.06,947.58,7.99,14.92,1.56
7.72,396.53,338.85,2.13,229.27,2390.89,4.53,10.29,9.47
8.1,345.09,204.02,4.42,230.96,31369.17,13.52,99.89,3.55
7.65,133.69,218.3,4.44,385.51,871.58,7.43,213.06,4.33
7.53,66.14,291.6,1.0,187.11,2144.5,11.03,28.55,2.34
5.72,409.44,249.9,0.61,395.85,1445.41,2.49,94.25,3.55
6.75,107.26,348.44,2.53,151.4,699.4,9.7,0.04,2.83
8.98,284.68,769.44,4.23,409.11,4261.98,8.99,96.68,1.5
7.92,225.62,240.99,1.17,341.79,2748.88,10.48,86.73,0.53
